number,short_description,assignment_group,impact,urgency,sla_percentage,sla_paused
INC000001,Incidente de teste número 1,NOC Brasil,2,2,53,true
INC000002,Incidente de teste número 2,App Support,1,3,72,true
INC000003,Incidente de teste número 3,NOC Brasil,2,2,68,true
INC000004,Incidente de teste número 4,NOC Brasil,1,3,41,false
INC000005,Incidente de teste número 5,Web Team,2,1,60,false
INC000006,Incidente de teste número 6,Web Team,2,3,61,false
INC000007,Incidente de teste número 7,App Support,3,3,40,true
INC000008,Incidente de teste número 8,NOC Brasil,1,2,48,true
INC000009,Incidente de teste número 9,Service Desk,3,1,32,true
INC000010,Incidente de teste número 10,App Support,2,1,33,true
INC000011,Incidente de teste número 11,Service Desk,2,1,66,false
INC000012,Incidente de teste número 12,Web Team,3,1,93,false
INC000013,Incidente de teste número 13,Service Desk,3,3,43,true
INC000014,Incidente de teste número 14,NOC Brasil,3,2,58,false
INC000015,Incidente de teste número 15,Web Team,1,3,59,true
INC000016,Incidente de teste número 16,NOC Brasil,3,3,55,true
INC000017,Incidente de teste número 17,App Support,3,2,57,false
INC000018,Incidente de teste número 18,Web Team,3,1,54,false
INC000019,Incidente de teste número 19,Finance IT,3,3,53,false
INC000020,Incidente de teste número 20,Service Desk,1,1,37,true
INC000021,Incidente de teste número 21,Finance IT,1,3,54,false
INC000022,Incidente de teste número 22,Web Team,3,2,37,false
INC000023,Incidente de teste número 23,App Support,2,3,39,false
INC000024,Incidente de teste número 24,NOC Brasil,1,2,93,false
INC000025,Incidente de teste número 25,NOC Brasil,3,3,85,false
INC000026,Incidente de teste número 26,Finance IT,2,2,46,false
INC000027,Incidente de teste número 27,NOC Brasil,1,1,66,false
INC000028,Incidente de teste número 28,Finance IT,3,1,44,false
INC000029,Incidente de teste número 29,App Support,1,1,93,true
INC000030,Incidente de teste número 30,Finance IT,2,1,52,true
INC000031,Incidente de teste número 31,App Support,1,1,48,false
INC000032,Incidente de teste número 32,Service Desk,2,2,40,true
INC000033,Incidente de teste número 33,Web Team,1,3,53,true
INC000034,Incidente de teste número 34,App Support,2,1,42,true
INC000035,Incidente de teste número 35,Web Team,3,3,81,false
INC000036,Incidente de teste número 36,NOC Brasil,1,3,65,false
INC000037,Incidente de teste número 37,App Support,1,2,81,true
INC000038,Incidente de teste número 38,Web Team,2,2,35,true
INC000039,Incidente de teste número 39,Service Desk,2,2,89,true
INC000040,Incidente de teste número 40,Web Team,1,3,85,false
INC000041,Incidente de teste número 41,Service Desk,1,1,78,false
INC000042,Incidente de teste número 42,Finance IT,2,3,59,true
INC000043,Incidente de teste número 43,Finance IT,3,1,93,true
INC000044,Incidente de teste número 44,Service Desk,2,3,42,true
INC000045,Incidente de teste número 45,App Support,2,1,59,false
INC000046,Incidente de teste número 46,Finance IT,1,2,75,true
INC000047,Incidente de teste número 47,Service Desk,1,3,41,false
INC000048,Incidente de teste número 48,Service Desk,2,3,60,true
INC000049,Incidente de teste número 49,Service Desk,3,2,88,false
INC000050,Incidente de teste número 50,App Support,1,3,67,true
INC000051,Incidente de teste número 51,NOC Brasil,1,2,62,true
INC000052,Incidente de teste número 52,NOC Brasil,3,1,72,false
INC000053,Incidente de teste número 53,Service Desk,3,2,38,false
INC000054,Incidente de teste número 54,App Support,2,2,54,false
INC000055,Incidente de teste número 55,Finance IT,3,2,85,false
INC000056,Incidente de teste número 56,Web Team,2,2,86,false
INC000057,Incidente de teste número 57,NOC Brasil,2,1,79,true
INC000058,Incidente de teste número 58,Finance IT,2,1,47,false
INC000059,Incidente de teste número 59,App Support,3,1,36,false
INC000060,Incidente de teste número 60,Finance IT,2,3,31,true
INC000061,Incidente de teste número 61,NOC Brasil,1,2,84,true
INC000062,Incidente de teste número 62,NOC Brasil,3,2,44,true
INC000063,Incidente de teste número 63,Web Team,1,1,38,false
INC000064,Incidente de teste número 64,Finance IT,2,1,40,true
INC000065,Incidente de teste número 65,App Support,1,3,92,false
INC000066,Incidente de teste número 66,Service Desk,1,1,30,false
INC000067,Incidente de teste número 67,Finance IT,1,2,49,true
INC000068,Incidente de teste número 68,NOC Brasil,2,3,34,false
INC000069,Incidente de teste número 69,Service Desk,1,1,48,true
INC000070,Incidente de teste número 70,Service Desk,1,1,42,false
INC000071,Incidente de teste número 71,Finance IT,1,1,83,false
INC000072,Incidente de teste número 72,App Support,1,1,79,true
INC000073,Incidente de teste número 73,Web Team,1,1,67,false
INC000074,Incidente de teste número 74,Service Desk,1,3,72,true
INC000075,Incidente de teste número 75,Service Desk,3,1,33,false
INC000076,Incidente de teste número 76,App Support,2,1,59,false
INC000077,Incidente de teste número 77,Finance IT,1,3,46,false
INC000078,Incidente de teste número 78,Service Desk,1,1,80,false
INC000079,Incidente de teste número 79,Web Team,2,1,70,true
INC000080,Incidente de teste número 80,App Support,3,1,58,true
INC000081,Incidente de teste número 81,App Support,1,2,81,false
INC000082,Incidente de teste número 82,Web Team,2,2,46,false
INC000083,Incidente de teste número 83,Service Desk,2,3,48,false
INC000084,Incidente de teste número 84,Service Desk,3,2,67,false
INC000085,Incidente de teste número 85,Finance IT,1,1,84,false
INC000086,Incidente de teste número 86,NOC Brasil,3,3,68,true
INC000087,Incidente de teste número 87,Web Team,3,2,83,false
INC000088,Incidente de teste número 88,Service Desk,3,2,83,false
INC000089,Incidente de teste número 89,NOC Brasil,3,1,60,false
INC000090,Incidente de teste número 90,Service Desk,3,1,52,true
INC000091,Incidente de teste número 91,Web Team,1,1,33,false
INC000092,Incidente de teste número 92,Service Desk,1,1,72,false
INC000093,Incidente de teste número 93,Web Team,1,3,47,true
INC000094,Incidente de teste número 94,Finance IT,1,2,69,false
INC000095,Incidente de teste número 95,App Support,3,3,42,false
INC000096,Incidente de teste número 96,NOC Brasil,1,3,47,false
INC000097,Incidente de teste número 97,Web Team,2,1,34,false
INC000098,Incidente de teste número 98,NOC Brasil,2,2,45,false
INC000099,Incidente de teste número 99,Service Desk,3,2,64,true
INC000100,Incidente de teste número 100,Finance IT,2,1,57,true
INC000101,Incidente de teste número 101,App Support,3,2,55,false
INC000102,Incidente de teste número 102,Web Team,2,3,40,true
INC000103,Incidente de teste número 103,Web Team,2,1,64,true
INC000104,Incidente de teste número 104,App Support,2,3,58,true
INC000105,Incidente de teste número 105,Finance IT,1,1,31,true
INC000106,Incidente de teste número 106,App Support,1,2,84,true
INC000107,Incidente de teste número 107,Web Team,2,3,91,true
INC000108,Incidente de teste número 108,Web Team,1,1,50,false
INC000109,Incidente de teste número 109,Web Team,2,3,50,false
INC000110,Incidente de teste número 110,NOC Brasil,3,1,71,true
INC000111,Incidente de teste número 111,Web Team,2,3,60,false
INC000112,Incidente de teste número 112,App Support,3,1,90,true
INC000113,Incidente de teste número 113,App Support,3,2,38,false
INC000114,Incidente de teste número 114,NOC Brasil,1,2,81,false
INC000115,Incidente de teste número 115,App Support,1,1,70,true
INC000116,Incidente de teste número 116,App Support,2,3,64,true
INC000117,Incidente de teste número 117,Finance IT,2,3,89,false
INC000118,Incidente de teste número 118,NOC Brasil,2,3,76,false
INC000119,Incidente de teste número 119,Service Desk,2,2,88,false
INC000120,Incidente de teste número 120,App Support,2,1,37,true
INC000121,Incidente de teste número 121,Web Team,1,1,31,false
INC000122,Incidente de teste número 122,Finance IT,3,2,51,false
INC000123,Incidente de teste número 123,NOC Brasil,1,1,57,true
INC000124,Incidente de teste número 124,Finance IT,3,1,36,false
INC000125,Incidente de teste número 125,App Support,3,1,82,true
INC000126,Incidente de teste número 126,App Support,3,1,58,true
INC000127,Incidente de teste número 127,Finance IT,2,1,46,false
INC000128,Incidente de teste número 128,Service Desk,1,1,81,false
INC000129,Incidente de teste número 129,App Support,2,2,94,false
INC000130,Incidente de teste número 130,App Support,1,3,92,true
INC000131,Incidente de teste número 131,Service Desk,3,3,34,false
INC000132,Incidente de teste número 132,Web Team,3,2,43,false
INC000133,Incidente de teste número 133,NOC Brasil,3,2,49,false
INC000134,Incidente de teste número 134,NOC Brasil,1,2,51,true
